Piloto,Escudería,Circuitos,Tiempo Promedio
Sergio Pérez,Desconocida,2,74.05
Oscar Piastri,Desconocida,2,74.75
Fernando Alonso,Desconocida,2,77.2
Yuki Tsunoda,Desconocida,2,78.2
Esteban Ocon,Desconocida,2,78.4
Lando Norris,Desconocida,2,78.8
Max Verstappen,Desconocida,2,80.0
Lewis Hamilton,Desconocida,2,80.35
Liam Lawson,Desconocida,2,80.55
Kevin Magnussen,Desconocida,2,81.05
Carlos Sainz,Desconocida,2,81.15
Charles Leclerc,Desconocida,2,82.3
Alex Albon,Desconocida,2,82.85
Zhou Guanyu,Desconocida,2,84.8
Lance Stroll,Desconocida,2,85.95
George Russell,Desconocida,2,86.45
Valtteri Bottas,Desconocida,2,86.85
Pierre Gasly,Desconocida,2,87.3
Nico Hülkenberg,Desconocida,2,89.45
Logan Sargeant,Desconocida,2,89.7
